EC,SA,taxa difference,comment
1.1.99.20,0.004,19," valeraldehyde, mixed culture <6>) <6>"
1.1.99.20,0.156,19," PEG-400, mixed culture <6>) <6>"
1.1.99.20,0.156,19," PEG-400, mixed culture <6>) <6>"
1.1.99.20,0.029,19, valeraldehyde <6>) <6>
1.1.99.20,0.001,19, PEG-6000 <6>) <6>
1.1.99.20,0.003,19, PEG-400 <6>) <6>
1.1.99.20,2.59,19, 2.59 <5>
1.1.99.20,2.68,19," strain No. 203, purified enzyme <4>) <4>"
1.1.99.20,0.035,19," strain No. 203, crude extract <4>) <4>"
1.1.99.21,3570,19," purified recombinant enzyme, with D-sorbitol using"
1.1.99.21,62,19, 62.0 <8>
1.1.99.21,433,19," 433.0 <1,2>"
1.1.99.22,52,19, 52.0 <1>
1.1.99.24,0.0013,19, recombinant soluble enzyme in HEK-293 cells <3>) <3>
1.1.99.26,0.27,19, 2-cyclohexenone hydratase and 3-hydroxycyclohexanone
1.1.99.29,16.4,19," pH 6.5, 25°C <1>) <1>"
1.1.99.29,11.5,19," culture supernatant, at pH 8.5 and 30°C <15>) <15>"
1.1.99.29,21.9,19," after 1.9fold purification, at pH 8.5 and 30°C <15>) <15>"
1.1.99.29,19.2,19," substrate: D-talose, ferricenium ion as electron"
1.1.99.29,19.2,19," substrate: D-talose, ferricenium ion as electron"
1.1.99.29,33.5,19," substrate: L-arabinose, ferricenium ion as"
1.1.99.29,33.5,19," substrate: L-arabinose, ferricenium ion as"
1.1.99.29,14.1,19," substrate: D-sorbose, ferricenium ion as electron"
1.1.99.29,14.1,19," substrate: D-sorbose, ferricenium ion as electron"
1.1.99.29,26.4,19," substrate: D-mannose, ferricenium ion as electron"
1.1.99.29,26.4,19," substrate: D-mannose, ferricenium ion as electron"
1.1.99.29,21.3,19," substrate: maltotriose, ferricenium ion as"
1.1.99.29,21.3,19," substrate: maltotriose, ferricenium ion as"
1.1.99.29,28.2,19," substrate: D-ribose, ferricenium ion as electron"
1.1.99.29,28.2,19," substrate: D-ribose, ferricenium ion as electron"
1.1.99.29,14.9,19," substrate: D-fructose, ferricenium ion as"
1.1.99.29,14.9,19," substrate: D-fructose, ferricenium ion as"
1.1.99.29,38.9,19," substrate: D-maltose, ferricenium ion as electron"
1.1.99.29,38.9,19," substrate: D-maltose, ferricenium ion as electron"
1.1.99.29,41.4,19," substrate: D-glucose, ferricenium ion as electron"
1.1.99.29,41.4,19," substrate: D-glucose, ferricenium ion as electron"
1.1.99.29,35.6,19," substrate: lactose, ferricenium ion as electron"
1.1.99.29,35.6,19," substrate: lactose, ferricenium ion as electron"
1.1.99.29,39.1,19," substrate: D-xylose, ferricenium ion as electron"
1.1.99.29,39.1,19," substrate: D-xylose, ferricenium ion as electron"
1.1.99.29,45.4,19," substrate: xylobiose, ferricenium ion as electron"
1.1.99.29,45.4,19," substrate: xylobiose, ferricenium ion as electron"
1.1.99.29,34.5,19, substrate: cellobiose ferricenium ion as electron
1.1.99.29,34.5,19, substrate: cellobiose ferricenium ion as electron
1.1.99.29,43.7,19," substrate: D-galactose, ferricenium ion as"
1.1.99.29,43.7,19," substrate: D-galactose, ferricenium ion as"
1.1.99.3,470,19, 470.0 <5>
1.1.99.3,150,19, 150.0 <13>
1.1.99.3,0.0141,19," cells grown at 37°C, wild type <14>) <14>"
1.1.99.3,0.0333,19," cells grown at 42°C, wild type <14>) <14>"
1.1.99.3,561.5,19, 561.5 <4>
1.1.99.3,149,19, 149.0 <11>
1.1.99.3,237,19, 237.0 <6>
1.1.99.30,600,19, purified enzyme <3>) <3>
1.1.99.30,1000,19, purified enzyme <7>) <7>
1.1.99.30,810,19, crude cell extract <5>) <5>
1.1.99.30,1800,19, purified holoenzyme <1>) <1>
1.1.99.31,20.5,19," after 7.65fold purification, at pH 6.5 and 30°C <17>)"
1.1.99.31,2.68,19," crude extract, at pH 6.5 and 30°C <17>) <17>"
1.1.99.32,0.897,19," pH 7.0, 25°C <1>) <1>"
1.1.99.35,515,19," crude cell lysate, at pH 7.0 and 25°C <20>) <20>"
1.1.99.35,2977,19," wild-type, pH 7.0, at 50 mM D-glucose <4>) <4>"
1.1.99.35,5811,19," after 11.3fold purification, at pH 7.0 and 25°C <20>)"
1.1.99.36,3.1,19," purified enzyme,"
1.1.99.37,0.413,19," pH 9.5, 50°C <3>) <3>"
1.1.99.4,1.247,19," 1.247 <5,6>"
1.1.99.6,7.4,19, 7.4 <2>
1.1.99.7,117,19," 117.0 <1,2>"
1.1.99.7,368,19," 368.0 <3,5>"
1.1.99.7,265,19, 265.0 <4>
1.1.99.9,11.9,19, 11.9 <2>
1.10.2.1,6.5,19," microsomes after CM-cellulose-chromatography,"
1.10.2.1,0.0296,19, 0.0296 <2>
1.10.2.2,160,19, 160.0 <42>
1.10.2.2,65,19, 65.0 <20>
1.10.3.10,960,19," at 37°C, pH not specified in the publication <2>) <2>"
1.10.3.11,0.2,19," recombinant enzyme, in the presence of 10 nM"
1.10.3.11,2.2,19," recombinant enzyme, at 25°C, in 50 mM Tris-HCl (pH 7.4)"
1.10.3.11,0.1,19," recombinant enzyme, in the presence of 10 nM"
1.10.3.11,1.6,19," recombinant enzyme, at 25°C, in 50 mM Tris-HCl (pH 7.4)"
1.10.3.13,36,19," pH 7.0, 40°C, oxidation of"
1.10.3.13,9.9,19," pH 6, 40°C, oxidation of"
1.10.3.14,1,19," substrate 2,4-dimethoxy-5-methyl-1,4-benzoquinol, pH 6.3,"
1.10.3.14,7.7,19," substrate 1,4-naphtoquinol, pH 6.3, 37°C <4>) <4>"
1.10.3.14,17.1,19," substrate menadiol, presence of 50 mM NCl, pH 6.3, 37°C"
1.10.3.14,6.2,19," substrate duroquinol, pH 6.3, 37°C <4>) <4>"
1.10.3.14,15.3,19," substrate menadiol, pH 6.3, 37°C <4>) <4>"
1.10.3.14,17.3,19," substrate menadiol, presence of 50 mM KCl, pH 6.3, 37°C"
1.10.3.15,0.0000035,19," crude extract, at pH 7.0 and 30°C <1>) <1>"
1.10.3.15,0.0658,19," after 19000fold purification, at pH 7.0 and 30°C <1>)"
1.10.3.3,133.5,19, different purified commercial preparations <62>) <62>
1.10.3.4,0.066,19," after 19000fold purification, at 30°C <4>) <4>"
1.10.3.4,0.0000035,19," crude cell extract, at 30°C <4>) <4>"
1.10.3.4,56.1,19, 56.1 <3>
1.10.3.5,0.185,19, 0.185 <2>
1.10.3.5,0.16,19, 0.16 <2>
1.10.3.5,0.24,19, 0.24 <2>
1.10.3.6,3.19,19, 3.19 <1>
1.10.5.1,242,19, 242.0 <13>
1.11.1.10,2.25,19," after 8.33fold purification, at pH 2.75 and 30°C  <80>)"
1.11.1.10,0.27,19," crude enzyme, at pH 2.75 and 30°C  <80>) <80>"
1.11.1.12,90,19, partially purified enzyme <19>) <19>
1.11.1.12,0.032,19, 0.032 <19>
1.11.1.12,0.3,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,42,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,28.3,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,69,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,36,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,0.4,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,37.5,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,13.6,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,25.2,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,160.2,19," in 0.1 M potassium phosphate, pH 7.8 with 1 mM EDTA,"
1.11.1.12,30.6,19," pH 7.4, 37°C <71>) <71>"
1.11.1.12,3.8,19, substrate cumene hydroperoxide <5>) <5>
1.11.1.12,0.9,19, substrate tert-butyl hydroperoxide <5>) <5>
1.11.1.12,2.2,19, substrate phosphatidylcholine <5>) <5>
1.11.1.12,107,19, purified enzyme <5>) <5>
1.11.1.12,195.1,19, purified enzyme <1>) <1>
1.11.1.12,310.1,19, purified enzyme <4>) <4>
1.11.1.12,0.04,19, low-PHGPx group <69>) <69>
1.11.1.12,0.056,19," low-PHGPx, Marchigiana <69>) <69>"
1.11.1.12,7,19, purified enzyme <13>) <13>
1.11.1.12,0.13,19, high-PHGPx group <69>) <69>
1.11.1.12,0.2242,19," high-PHGPx, Chianina <69>) <69>"
1.11.1.12,0.2453,19," high-PHGPx, Marchigiana <69>) <69>"
1.11.1.12,0.2447,19," high-PHGPx, Romagnola <69>) <69>"
1.11.1.12,0.0539,19," low-PHGPx, Chianina <69>) <69>"
1.11.1.12,0.0746,19," low-PHGPx, Romagnola <69>) <69>"
1.11.1.15,0.9,19," wild type enzyme, using dithiothreitol as a substrate, in"
1.11.1.15,2.74,19," wild type enzyme, using thioredoxin as a substrate, in"
1.11.1.16,26.6,19," pH 4.5, 30°C <39>) <39>"
1.11.1.16,1.4,19," with 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonic"
1.11.1.16,1.2,19," with syringol as substrate, at 30°C and pH 4.5 <49>)"
1.11.1.16,2.3,19," with veratryl alcohol as substrate, at 30°C and pH 4.5"
1.11.1.16,0.4,19," with beta-carotene as substrate, at 30°C and pH 4.5"
1.11.1.16,334,19, growth on rich peptone medium containing 0.5 mM Mn2+
1.11.1.16,10.86,19," unpurified enzyme, with Mn2+ as substrate, at pH 5.0 and"
1.11.1.16,559,19, after growth on rich peptone medium <4>) <4>
1.11.1.16,61.48,19," after 5.66fold purification, with Mn2+ as substrate, at"
1.11.1.16,10.8,19," substrate 2,6-dimthoxy-1,4-benzohydroquinone, pH 5.0,"
1.11.1.16,8.4,19," substrate 1,4-benzohydroquinone, pH 5.0, absence of Mn2+"
1.11.1.16,9.6,19," substrate 2-methoxy-1,4-benzohydroquinone, pH 5.0, absence"
1.11.1.16,80,19, pH 4.5 <1>) <1>
1.11.1.16,7.2,19," substrate veratryl alcohol, pH 3.0, 25°C <34>) <34>"
1.11.1.16,8.8,19," substrate 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonic"
1.11.1.16,2.2,19," substrate Reactive Black 5, pH 3.5, 25°C <34>) <34>"
1.11.1.16,194,19," substrate Mn2+, pH 5.0, 25°C <34>) <34>"
1.11.1.16,148.5,19, 148.5 <6>
1.11.1.18,8.9,19, 8.9 <18>
1.11.1.18,376.8,19, 376.8 <26>
1.11.1.18,32.5,19, 32.5 <19>
1.11.1.18,65,19, 65.0 <10>
1.11.1.18,15.4,19, BPO 2 <17>) <17>
1.11.1.18,45.23,19, BPO 1 <17>) <17>
1.11.1.19,0.086,19," with veratryl glycerol-beta-guaiacyl ether, at pH 3.0"
1.11.1.19,0.13,19," with veratryl alcohol, at pH 3.0 and 50°C <52>) <52>"
1.11.1.19,11.55,19," with Reactive Blue 19, at pH 3.0 and 30°C <52>) <52>"
1.11.1.19,66.8,19," with 2,2-azino-bis(3-ethylbenzothiazoline-6-sulfonic"
1.11.1.19,17.65,19," with Reactive Black 5, at pH 3.0 and 30°C <52>) <52>"
1.11.1.19,4.2,19," DyP, using Reactive Red 33 as substrate, in 0.1 M sodium"
1.11.1.19,34,19," DyP, using guaiacol as substrate, in 0.1 M sodium"
1.11.1.19,1.8,19," DyP, using Reactive Black 5 as substrate, in 0.1 M"
1.11.1.19,7.5,19," DyP, using Reactive Blue 114 as substrate, in 0.1 M"
1.11.1.19,340,19," DyP, using Reactive Blue 5 as substrate, in 0.1 M"
1.11.1.19,0.058,19," recombinant enzyme from crude extract, at 30°C, pH"
1.11.1.19,17.1,19," unpurified supernatant, at pH 3.5 and 30°C <19>) <19>"
1.11.1.19,270,19," DyP, using Reactive Blue 19 as substrate, in 0.1 M"
1.11.1.19,261,19," 15.3fold purified isozyme Dyp2, at pH 3.5 and 30°C"
1.11.1.19,732,19," 42.8fold purified isozyme Dyp3, at pH 3.5 and 30°C"
1.11.1.19,834,19," recombinant enzyme after 14385fold purification, at"
1.11.1.19,0.28,19," crude enzyme, in 25 mM citrate buffer (pH 3.2), at"
1.11.1.19,57,19," after 210fold purification, in 25 mM citrate buffer (pH"
1.11.1.19,22.4,19," culture supernatant, at 30°C, pH not specified in the"
1.11.1.19,331,19," after 14.8fold purification, at 30°C, pH not"
1.11.1.19,0.022,19," enzyme from supernatant, at pH 4.0 and 30°C <45>) <45>"
1.11.1.19,3.08,19," after 140fold purification, at pH 4.0 and 30°C <45>)"
1.11.1.19,600,19," wild type enzyme, at 30°C, pH not specified in the"
1.11.1.19,5.6,19," recombinant enzyme from crude extract, using Reactive"
1.11.1.19,216,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,230,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,204,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,54,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,290,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,71,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,308,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,283,19," recombinant enzyme after 50.5fold purification, using"
1.11.1.19,374,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,1478,19," recombinant enzyme, in 50 mM citrate buffer (pH"
1.11.1.19,0.8,19," enzyme from lysate supernatant, at pH 7.0 and 70°C"
1.11.1.19,17.8,19, after 22.3fold purification at pH 7.0 and 70°C <49>)
1.11.1.22,0.044,19," isoform Gpx-1, using oleic acid hydroperoxide as"
1.11.1.22,0.08,19," isoform Gpx-2, using cumene hydroperoxide as substrate,"
1.11.1.22,0.087,19," isoform Gpx-1, using alpha-linoleic acid hydroperoxide"
1.11.1.22,0.106,19," isoform Gpx-2, using alpha-linoleic acid hydroperoxide"
1.11.1.22,0.15,19," isoform Gpx-2, using alpha-linolenic acid hydroperoxide"
1.11.1.22,0.133,19," isoform Gpx-1, using alpha-linolenic acid hydroperoxide"
1.11.1.22,0.083,19," isoform Gpx-1, using tert-butyl hydroperoxide as"
1.11.1.22,0.053,19," isoform Gpx-2, using oleic acid hydroperoxide as"
1.11.1.22,0.085,19," isoform Gpx-2, using tert-butyl hydroperoxide as"
1.11.1.22,0.071,19," isoform Gpx-1, using cumene hydroperoxide as substrate,"
1.11.1.3,2.9,19, purified enzyme with lauric acid as substrate <2>) <2>
1.11.1.5,12.9,19," supernatant, pH 7.5, 25°C <25>) <25>"
1.11.1.5,104.6,19," purified enzyme, pH 7.5, 25°C <25>) <25>"
1.11.1.5,26.4,19," 2,2ÿ-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)"
1.11.1.5,135,19, 135.0 <3>
1.11.1.8,180,19," pH 7.4, 25°C <50>) <50>"
1.11.1.8,381,19, purified enzyme with guaiacol as substrate <5>) <5>
1.11.1.8,464,19, with guaiacol as substrate <3>) <3>
1.11.1.8,31,19, 31.0 <2>
1.11.1.8,7.22,19," wild-type, pH 7.4, temperature not specified in the"
1.12.1.2,34,19, electron acceptor NAD+ <21>) <21>
1.12.1.2,0.11,19," H2 producing activity, strain UGL011101 grown without"
1.12.1.2,0.3,19," H2 producing activity, strain HFPCcI3 grown without"
1.12.1.2,0.035,19," H2 producing activity, strain R43 grown without"
1.12.1.2,4.91,19," H2 producing activity, strain UGL140102 grown without"
1.12.1.2,36.5,19, 36.5 <3>
1.12.1.2,5.6,19," strain Cd2/01, electron acceptor NAD+ <21>) <21>"
1.12.1.2,100,19, electron acceptor benzyl viologen <22>) <22>
1.12.1.2,230,19," recombinant protein, pH 8.0, temperature not specified"
1.12.1.2,1263,19, activity of different batches with benzyl viologen and
1.12.1.2,85,19, electron acceptor NAD+ <22>) <22>
1.12.1.2,38,19," strain H16, electron acceptor NAD+ <21>) <21>"
1.12.1.2,61.6,19," reaction with NADH and ferrocyanide, purified HoxI"
1.12.1.2,35.1,19," reaction with H2 and benzyl viologen, purified wild-type"
1.12.1.2,57,19, 57.0 <19>
1.12.1.2,25.2,19," reaction with H2 and benzyl viologen, purified HoxI"
1.12.1.2,2030,19," purified hydrogenase, at 30°C <27>) <27>"
1.12.1.2,41.9,19," reaction with H2 and NAD+, purified wild-type enzyme"
1.12.1.2,30,19, 30.0 <8>
1.12.1.2,54.46,19, 54.46 <9>
1.12.1.2,64.9,19," reaction with NADH and ferrocyanide, purified wild-type"
1.12.1.2,102.1,19," reaction with H2 and ferrocyanide, purified HoxI"
1.12.1.2,108.8,19," reaction with H2 and ferrocyanide, purified wild-type"
1.12.1.2,17,19, activity of different batches with NAD+ and H2 <32>) <32>
1.12.1.2,125,19, activity of different batches with NADH and ferricyanide
1.12.1.2,30,19," purified enzyme, forward reaction under aerobic"
1.12.1.2,0.6,19,
1.12.1.2,0.0018,19," cell culture in nitrogen-limited medium, anaerobic"
1.12.1.2,0.0006,19," cell culture in nitrogen-enriched medium, anaerobic"
1.12.1.2,9.8,19, 9.8 <36>
1.12.1.2,0.076,19," crude extract, pH and temperature not specified in the"
1.12.1.2,87.78,19," after 1155old purification, pH and temperature not"
1.12.1.2,7.7,19, electron acceptor NAD+ <21>) <21>
1.12.1.3,0.076,19, crude extract <12>) <12>
1.12.1.3,87.78,19, after affinity chromatogrphy <12>) <12>
1.12.1.4,4.6,19," oxidation of ferredoxin, pH 7.5, 45°C <4>) <4>"
1.12.1.4,195,19," reduction of methyl viologen, pH 7.5, 45°C <4>) <4>"
1.12.1.4,57.5,19," reduction of ferredoxin, pH 7.5, 45°C <4>) <4>"
1.12.1.4,60,19," pH 7.0, 37°C <5>) <5>"
1.12.1.5,126,19," recombinant enzyme after 24fold purification, using"
1.12.1.5,1.23,19," crude native enzyme, using methyl viologen as"
1.12.1.5,7.96,19," crude recombinant enzyme, using methyl viologen as"
1.12.2.1,3817,19, crude sonicate <32>) <32>
1.12.2.1,35340,19, 9.26fold purified <32>) <32>
1.12.5.1,505,19," 505.0 <1,2>"
1.12.98.1,0.34,19," growth with H2 and CO2, enzyme activity depends on growth"
1.12.98.1,0.437,19," growth on methanol, enzyme activity depends on growth"
1.12.98.1,82.8,19," 37°C, pH 7.2, cosubstrate: oxidized coenzyme F420"
1.12.98.1,11.5,19," 37°C, pH 7.5, substrate: oxidized coenzyme F420 <28>)"
1.12.98.1,49,19," purified enzyme, F0-linked activity <9>) <9>"
1.12.98.1,0.0014,19, methyl viologen-linked activity <5>) <5>
1.12.98.1,0.155,19, F420-linked activity <5>) <5>
1.12.98.1,0.032,19, F420-linked activity <5>) <5>
1.12.98.1,172,19, purified enzyme with methyl viologen <15>) <15>
1.12.98.1,0.0026,19, methyl viologen-linked activity <5>) <5>
1.12.98.1,97.6,19, purified enzyme with F420 <15>) <15>
1.12.98.1,1.24,19, F420-linked activity <6>) <6>
1.12.98.1,98.6,19, purified enzyme with F0 <15>) <15>
1.12.98.1,63.2,19, methyl viologen-linked activity <6>) <6>
1.12.98.2,750,19, 750.0 <5>
1.12.98.2,800,19, 800.0 <2>
1.12.98.2,440,19, 440.0 <7>
1.12.98.2,610,19," purified enzyme, pH 6.0, 40°C, under N2 <10>) <10>"
1.12.98.2,1250,19," pH 6, 60°C <15>) <15>"
1.12.98.4,0.07,19, crude extract <1>) <1>
1.12.98.4,0.04,19, crude extract <1>) <1>
1.12.98.4,7.56,19," at 100°C <9,11>) <9,11>"
1.12.98.4,2.73,19, 2.73 <10>
1.12.98.4,0.043,19, crude extract <1>) <1>
1.12.98.4,700,19, preparation 1 <6>) <6>
1.12.98.4,350,19, preparation 2 <6>) <6>
1.12.98.4,186,19, sulfide oxidation <2>) <2>
1.12.98.4,732,19, 732.0 <5>
1.12.98.4,0.27,19," crude extract <1,5>) <1,5>"
1.13.11.12,15733.3,19," purified native enzyme, pH 6.0, 40°C <39>) <39>"
1.13.11.12,5538,19," purified native enzyme, pH 6.0, 40°C <39>) <39>"
1.13.11.12,10.2,19," crude extract, with linoleic acid as substrate <20>)"
1.13.11.12,12,19," crude extract, with alpha-linolenic acid as substrate"
1.13.11.12,564,19," 55fold purified enzyme, with linoleic acid as"
1.13.11.12,474,19," 55fold purified enzyme, with alpha-linolenic acid as"
1.13.11.12,2.9,19," purified His-tagged enzyme, pH 7.5, 25°C, with"
1.13.11.12,26.4,19," purified His-tagged enzyme, pH 7.5, 25°C, with"
1.13.11.12,10.5,19," purified His-tagged enzyme, pH 7.5, 25°C, with"
1.13.11.12,22.6,19," purified His-tagged enzyme, pH 7.5, 25°C, with"
1.13.11.12,23.4,19," 26fold purified enzyme, with linoleic acid as substrate"
1.13.11.12,28.3,19," purified recombinant enzyme, pH 7.5, 25°C <33>) <33>"
1.13.11.14,0.261,19, specific activity in cell-free extract after growth on
1.13.11.14,0.355,19, specific activity in cell-free extract after growth on
1.13.11.14,0.264,19, specific activity in cell-free extract after growth on
1.13.11.14,0.508,19, specific activity in cell-free extract after growth on
1.13.11.15,102,19, 102.0 <26>
1.13.11.15,0.01,19, 0.01 <24>
1.13.11.15,2.51,19, 2.51 <12>
1.13.11.15,100,19, 100.0 <11>
1.13.11.16,4.3,19," 2,3-dihydroxyphenylproponic acid <4>) <4>"
1.13.11.17,0.00575,19, 0.00575 <4>
1.13.11.18,186.7,19, purified enzyme <7>) <7>
1.13.11.18,7.95,19," recombinant enzyme, pH and temperature not specified in"
1.13.11.18,0.91,19, 0.91 <2>
1.13.11.18,0.25,19, 0.25 <4>
1.13.11.18,0.000352,19, activity in extracts of aerobic grown cells <3>) <3>
1.13.11.18,0.000952,19, activity in extracts of anaerobic grown cells <3>) <3>
1.13.11.19,0.000037,19," substrate: hypertaurine, kidney, higher activity in"
1.13.11.19,0.000091,19," substrate: hypertaurine, liver, higher activity in"
1.13.11.20,0.7,19, SCO5772 <24>) <24>
1.13.11.20,1,19, YubC <24>) <24>
1.13.11.20,4.4,19, 4.4 <24>
1.13.11.23,13,19, 13.0 <1>
1.13.11.24,1.5,19," 25°C, pH 7.5 <16>) <16>"
1.13.11.24,1.87,19," recombinant enzyme, using tamarixetin as substrate, at"
1.13.11.24,2.27,19," recombinant enzyme, using quercetin as substrate, at"
1.13.11.24,0.0012,19," native enzyme, using quercetin as substrate, at 25°C,"
1.13.11.24,2.49,19," recombinant enzyme, using galangin as substrate, at"
1.13.11.24,0.0276,19," recombinant enzyme, using fisetin as substrate, at"
1.13.11.24,30,19," purified recombinant Co2+-supplemented enzyme, pH 8.0,"
1.13.11.24,8,19," purified recombinant Fe2+-supplemented enzyme, pH 8.0,"
1.13.11.24,137,19," purified recombinant Ni2+-supplemented enzyme, pH 8.0,"
1.13.11.24,18,19," purified recombinant Mn2+-supplemented enzyme, pH 8.0,"
1.13.11.24,180,19, 180.0 <4>
1.13.11.24,90,19, 90.0 <9>
1.13.11.24,175,19, 175.0 <19>
1.13.11.25,22.17,19, 22.17 <2>
1.13.11.29,0.06,19, 0.06 <1>
1.13.11.30,0.031,19, 0.031 <1>
1.13.11.31,0.3,19," epithelial enzyme <6>) <2,6>"
1.13.11.31,0.3,19," epithelial enzyme <6>) <2,6>"
1.13.11.31,0.7,19, leukocyte enzyme <6>) <6>
1.13.11.31,0.0018,19, 0.0018 <21>
1.13.11.31,0.0003,19, enzyme from platelet <9>) <9>
1.13.11.31,0.0011,19, enzyme from leukocyte <9>) <9>
1.13.11.33,2.125,19, 2.125 <11>
1.13.11.33,93.5,19, 93.5 <18>
1.13.11.33,0.668,19, commercial preparation <74>) <74>
1.13.11.34,0.0069,19, 0.0069 <21>
1.13.11.34,5.2,19, 5.2 <10>
1.13.11.34,1,19, 1.0 <6>
1.13.11.34,5.7,19, enzyme form L2 <3>) <3>
1.13.11.34,21.9,19, commercial prearation <62>) <62>
1.13.11.34,147,19, 147.0 <18>
1.13.11.34,13.7,19, enzyme form L1 <3>) <3>
1.13.11.35,1780,19, 1780.0 <1>
1.13.11.36,8.15,19, purified enzyme <3>) <3>
1.13.11.37,0.45,19, substrate catechol <16>) <16>
1.13.11.37,0.37,19, substrate hydroxyquinol <16>) <16>
1.13.11.37,9.3,19," purified recombinant His-tagged enzyme, pH 5.0, 45°C"
1.13.11.37,7.06,19, reactivated with 0.01 mM Fe2+ <8>) <8>
1.13.11.37,479.6,19," 65.2fold purified enzyme, with 3-methylcatechol as"
1.13.11.37,391,19," 62.5fold purified enzyme, with catechol as"
1.13.11.37,391,19," 62.5fold purified enzyme, with catechol as"
1.13.11.37,795.6,19," 52fold purified enzyme, with hydroxyquinol as"
1.13.11.37,795.6,19," 52fold purified enzyme, with hydroxyquinol as"
1.13.11.37,284.6,19," 51.7fold purified enzyme, with 4-chlorocatechol as"
1.13.11.37,284.6,19," 51.7fold purified enzyme, with 4-chlorocatechol as"
1.13.11.37,5.5,19," recombinant enzyme, crude enzyme extract, substrate"
1.13.11.37,15.3,19," recombinant enzyme, crude enzyme extract, substrate"
1.13.11.37,479.5,19," purified recombinant enzyme, substrate"
1.13.11.37,27,19, 27.0 <7>
1.13.11.38,29,19, anion-exchange chromatography <6>) <6>
1.13.11.38,11.2,19, heat treatment (60°C) <6>) <6>
1.13.11.38,53,19, 3-H2NA-affinity chromatography <6>) <6>
1.13.11.38,4.9,19, cell-free extract <6>) <6>
1.13.11.38,61.5,19, after all purification steps from Pseudomonas sp. PPD
1.13.11.38,1567,19, 1567.0 <3>
1.13.11.38,180,19," purified enzyme <5>) <1,5>"
1.13.11.4,12,19, 12.0 <4>
1.13.11.4,1.18,19, 1.18 <30>
1.13.11.4,1040,19, 1040.0 <1>
1.13.11.4,498,19, 498.0 <5>
1.13.11.4,484,19, 484.0 <5>
1.13.11.40,352,19, 352.0 <4>
1.13.11.41,3.4,19, 3.4 <1>
1.13.11.41,2.85,19, 2.85 <2>
1.13.11.41,0.33,19, crude enzyme extract of recombinant Escherichia coli
1.13.11.41,0.042,19," crude enzyme extract of strain AZ11, pH 7.0, 25°C <3>)"
1.13.11.43,0.0021,19," at 30°C, in 50 mM Tris-HCl at pH 8.5, using"
1.13.11.43,0.0024,19," at 30°C, in 50 mM Tris-HCl at pH 8.5, using"
1.13.11.45,18,19," pH 9.0, 21°C <5>) <5>"
1.13.11.45,2.01,19," purified recombinant enzyme, pH 9.0, 21°C <13>) <13>"
1.13.11.47,9.9,19, 9.9 <3>
1.13.11.47,13.1,19, 13.1 <1>
1.13.11.47,70.7,19, 70.7 <1>
1.13.11.48,70.7,19, 70.7 <1>
1.13.11.49,22,19," acetate and chlorate, 30°C, oxygen production"
1.13.11.49,5.7,19," benzene and chlorate, 30°C, oxygen production"
1.13.11.49,2.8,19," 25°C, pH 6.0, 0.2 mM sodium chlorite, culture"
1.13.11.49,7.7,19," 25°C, pH 6.0, 0.2 mM sodium chlorite, culture"
1.13.11.49,4650,19," Vmax increase with 1 M phosphate, pH 6.0, 25°C <15>)"
1.13.11.49,443,19," Vmax, 100 mM sodium phosphate buffer, pH 6.0, 25°C,"
1.13.11.49,1500,19," 100 mM K3PO4 (pH 7.0), 25°C, oxygen removal by"
1.13.11.49,2800,19, 2800.0 <2>
1.13.11.49,1.982,19, 1.982 <1>
1.13.11.50,0.09,19," wild-type enzyme, 20 mM Tris/HCl buffer, pH 7.5, 25°C"
1.13.11.50,1.34,19," recombinant enzyme, 35°C <3>) <3>"
1.13.11.50,7,19, 7.0 <2>
1.13.11.55,0.21,19," wild-type enzyme in absence of GSH, pH 8.0, 80°C <17>)"
1.13.11.55,17.17,19," wild-type enzyme in presence of GSH, pH 8.0, 80°C"
1.13.11.55,0.05,19," crude enzyme extract, sulfur reductase activity,"
