EC	modelRxn	kcat_1/sec	KeggID		Commentary	Organism	LigandStructureID	literature	EC_KeggID	tax_dist
1.1.1.3		0.052	C00263	cpd:C00263   L-Homoserine; 2-Amino-4-hydroxybutyric acid	cosubstrate NADP+, pH 8.0, 25&Acirc&degC	Glycine max	294	712490	1.1.1.3C00263	6
1.1.1.3		0.07	C00263	cpd:C00263   L-Homoserine; 2-Amino-4-hydroxybutyric acid	cosubstrate NADP+, pH 8.0, 25&Acirc&degC	Glycine max	294	712490	1.1.1.3C00263	6
1.1.1.3		1.43	C00263	cpd:C00263   L-Homoserine; 2-Amino-4-hydroxybutyric acid	cosubstrate NAD+, pH 8.0, 25&Acirc&degC	Glycine max	294	712490	1.1.1.3C00263	6
1.1.1.3		7	C00263	cpd:C00263   L-Homoserine; 2-Amino-4-hydroxybutyric acid	cosubstrate NAD+, pH 8.0, 25&Acirc&degC	Glycine max	294	712490	1.1.1.3C00263	6
1.1.1.3		10.15	C00263	cpd:C00263   L-Homoserine; 2-Amino-4-hydroxybutyric acid	cosubstrate NAD+, pH 8.0, 25&Acirc&degC	Glycine max	294	712490	1.1.1.3C00263	6
1.2.1.2		2.9	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	wild type enzyme, in 0.1 M sodium phosphate buffer, pH 7.0, at 30&Acirc&degC	Glycine max	4	726427	1.2.1.2C00003	6
1.2.1.2		2.9	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	wild type enzyme, in 0.1 M sodium phosphate buffer, 0.01 M EDTA, pH 7.0, temperature not specified in the publication	Glycine max	4	740027	1.2.1.2C00003	6
3.2.1.2		1260	C00369	cpd:C00369   Starch; Glycogen	pH 5.4-6.0, major isozyme	Glycine max	189	666557	3.2.1.2C00369	6
1.2.1.2		0.005	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	in 0.1 M potassium phosphate buffer, pH 7.5, at 30&Acirc&degC	Lotus japonicus	6	696475	1.2.1.2C00006	6
1.4.1.14	GluSNAD_h	70	C00064 	cpd:C00064   L-Glutamine; L-2-Aminoglutaramic acid	independent of pH 6.5-9.5	Lupinus angustifolius	96	391470	1.4.1.14C00064 	6
2.4.2.7		0.06	C00212 	cpd:C00212   Adenosine	independent of pH 6.5-9.5	Lupinus luteus	116	137099	2.4.2.7C00212 	6
3.3.1.1		4.3	C00212 	cpd:C00212   Adenosine		Lupinus luteus	116	137122	3.3.1.1C00212 	6
3.3.1.1		0.11	C00097	cpd:C00097   L-Cysteine; L-2-Amino-3-mercaptopropionic acid		Lupinus luteus	70	137122	3.3.1.1C00097	6
1.1.1.37		2.54	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	pH 7.5, 30&degC	Malus domestica	4	712865	1.1.1.37C00003	6
1.1.1.37		3.21	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	pH 7.9, 25&degC	Malus domestica	4	712865	1.1.1.37C00003	6
1.1.1.37		609.5	C00004	cpd:C00004   NADH; DPNH; Reduced nicotinamide adenine dinucleotide	pH 7.8, 30&degC	Malus domestica	3	712865	1.1.1.37C00004	6
1.1.1.37		4553	C00036	cpd:C00036   Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	pH 7.8, 30&degC	Malus domestica	53	712865	1.1.1.37C00036	6
2.4.1.21		235	C00498 	cpd:C00498   ADP-glucose; ADP-alpha-D-glucose; Adenosine diphosphoglucose	pH 8.0, 30&degC, at 10 mg/ml amylopectin	Phaseolus vulgaris	493	686669	2.4.1.21C00498 	6
2.4.1.21		333	C00498 	cpd:C00498   ADP-glucose; ADP-alpha-D-glucose; Adenosine diphosphoglucose	pH 8.0, 30&degC, at 10 mg/ml glycogen	Phaseolus vulgaris	493	686669	2.4.1.21C00498 	6
2.7.4.6		106	C00705	cpd:C00705   dCDP; 2'-Deoxycytidine diphosphate; 2'-Deoxycytidine 5'-diphosphate	wild type enzyme, 22&degC	Pisum sativum	852	663130	2.7.4.6C00705	6
2.7.4.6		147	C00363 	cpd:C00363   dTDP; Deoxythymidine 5'-diphosphate	wild type enzyme, 22&degC	Pisum sativum	449	663130	2.7.4.6C00363 	6
2.7.4.6		2085	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	recombinant His-tagged NDPK	Pisum sativum	7	694756	2.7.4.6C00002	6
1.18.1.2		7	C00004	cpd:C00004   NADH; DPNH; Reduced nicotinamide adenine dinucleotide	wild-type, pH 8.0, 30&Acirc&degC	Pisum sativum	3	726961	1.18.1.2C00004	6
1.18.1.2		2.2	C00005	cpd:C00005   NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	wild-type, 30&Acirc&degC, pH 8.0	Pisum sativum	5	672095	1.18.1.2C00005	6
1.18.1.2		74.1	C00005	cpd:C00005   NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	wild-type, 30&Acirc&degC, pH 8.0	Pisum sativum	5	672095	1.18.1.2C00005	6
1.18.1.2		374.3	C00005	cpd:C00005   NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	wild-type, pH 8.0, 30&Acirc&degC	Pisum sativum	5	726961	1.18.1.2C00005	6
2.6.1.13		4.3	C00077	cpd:C00077   L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate	pH 8.0, 37&Acirc&degC	Pisum sativum	172	721755	2.6.1.13C00077	6
1.18.1.2		75	C00139	cpd:C00139   Oxidized ferredoxin; Oxidized ferredoxin [iron-sulfur] cluster	wild-type, pH 8.0, 30&Acirc&degC	Pisum sativum	252	726961	1.18.1.2C00139	6
4.1.2.13		40	C00354	cpd:C00354   D-Fructose 1,6-bisphosphate	pH 7.5, 30&Acirc&degC	Vigna radiata	100	666566	4.1.2.13C00354	6
4.1.2.13		33.3	C05382 	cpd:C05382   Sedoheptulose 7-phosphate; D-Sedoheptulose 7-phosphate; D-altro-Heptulose 7-phosphate; altro-Heptulose 7-phosphate	pH 7.5, 30&Acirc&degC	Vigna radiata	1242	666566	4.1.2.13C05382 	6
1.1.1.25		8.62	C02637	cpd:C02637   3-Dehydroshikimate	pH 7.0, 30&Acirc&degC, recombinant isozyme VvSDH3	Vitis vinifera	1666	740821	1.1.1.25C02637	6
1.1.1.25		95.85	C02637	cpd:C02637   3-Dehydroshikimate	pH 7.0, 30&Acirc&degC, recombinant isozyme VvSDH1	Vitis vinifera	1666	740821	1.1.1.25C02637	6
4.2.3.4	DHQS_h	0.5	C04691	cpd:C04691   2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate; 3-Deoxy-D-arabino-hept-2-ulosonate 7-phosphate; 3-Deoxy-arabino-heptulonate 7-phosphate; 3-Deoxy-D-arabino-heptulosonic acid 7-phosphate; DAHP; 2-Dahp	pH 6.8, 25&degC	Actinidia chinensis	3060	716413	4.2.3.4C04691	7
4.2.3.4	DHQS_h	20.1	C04691	cpd:C04691   2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate; 3-Deoxy-D-arabino-hept-2-ulosonate 7-phosphate; 3-Deoxy-arabino-heptulonate 7-phosphate; 3-Deoxy-D-arabino-heptulosonic acid 7-phosphate; DAHP; 2-Dahp	pH 7.5, 25&degC	Actinidia chinensis	3060	729105	4.2.3.4C04691	7
4.1.1.31		33	C00074	cpd:C00074   Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP	+ 5 mM D-glucose 6-phosphate without 5 mM D-glucose 6-phosphate	Alternanthera ficoidea	47	682463	4.1.1.31C00074	7
4.1.1.39		3.8	C00011	cpd:C00011   CO2; Carbon dioxide	at pH 8.3	Amaranthus hybridus	17	682535	4.1.1.39C00011	7
6.3.1.2		11.6	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	pH 7.8	Camellia sinensis	7	706610	6.3.1.2C00002	7
6.3.1.2		15.2	C00025	cpd:C00025   L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	pH 7.8	Camellia sinensis	38	706610	6.3.1.2C00025	7
1.8.1.7		50.14	C00127	cpd:C00127   Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	in 100 mM potassium phosphate buffer (pH 8.0), at 25&degC	Ipomoea batatas	283	698440	1.8.1.7C00127	7
1.8.1.7		53.72	C00005	cpd:C00005   NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	in 100 mM potassium phosphate buffer (pH 8.0), at 25&degC	Ipomoea batatas	5	698440	1.8.1.7C00005	7
4.1.1.39		0.42	C00007	cpd:C00007   Oxygen; O2	ANtS40L Rubisco oligomer complex, using soluble leaf protein extract	Nicotiana tabacum	11	706296	4.1.1.39C00007	7
2.2.1.6		2.32	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	wild-type, 37&degC, pH 7.4	Nicotiana tabacum	29	657852	2.2.1.6C00022	7
2.2.1.6		16.1	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	pH 7.5, 37&degC, recombinant wild-type enzyme	Nicotiana tabacum	29	672868	2.2.1.6C00022	7
2.4.1.13		4.97	C00089	cpd:C00089   Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	SuSy1, 25&Acirc&degC	Nicotiana tabacum	51	660272	2.4.1.13C00089	7
2.4.1.13		39.5	C00089	cpd:C00089   Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	SuSy2, 25&Acirc&degC	Nicotiana tabacum	51	660272	2.4.1.13C00089	7
2.7.1.1		1.42	C00459	cpd:C00459   dTTP; Deoxythymidine triphosphate; Deoxythymidine 5'-triphosphate; TTP	30&Acirc&degC, pH 8.0	Solanum chacoense	137	676958	2.7.1.1C00459	7
2.7.1.1		3.5	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	30&Acirc&degC, pH 8.0	Solanum chacoense	7	676958	2.7.1.1C00002	7
2.7.1.1		3.69	C00095	cpd:C00095   D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose	30&Acirc&degC, pH 8.0	Solanum chacoense	111	676958	2.7.1.1C00095	7
2.7.1.1		3.3	C00031	cpd:C00031   D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose	30&Acirc&degC, pH 8.0	Solanum chacoense	33	676958	2.7.1.1C00031	7
2.7.1.1		5.01	C00031	cpd:C00031   D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose	30&Acirc&degC, pH 8.0	Solanum chacoense	33	676958	2.7.1.1C00031	7
2.7.1.1		0.85	C00044 	cpd:C00044   GTP; Guanosine 5'-triphosphate	30&Acirc&degC, pH 8.0	Solanum chacoense	35	676958	2.7.1.1C00044 	7
2.7.1.1		3.02	C00075 	cpd:C00075   UTP; Uridine 5'-triphosphate; Uridine triphosphate	30&Acirc&degC, pH 8.0	Solanum chacoense	61	676958	2.7.1.1C00075 	7
2.6.1.42		22.1	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	SlBCAT5, pH not specified in the publication, 25&degC	Solanum lycopersicum	611	723462	2.6.1.42C00141	7
2.6.1.42		23	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	SlBCAT1, pH not specified in the publication, 25&degC	Solanum lycopersicum	611	723462	2.6.1.42C00141	7
2.6.1.42		23.4	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	pH not specified in the publication, 25&degC	Solanum lycopersicum	611	723052	2.6.1.42C00141	7
2.6.1.42		46.5	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	SlBCAT3, pH not specified in the publication, 25&degC	Solanum lycopersicum	611	723462	2.6.1.42C00141	7
2.6.1.42		60.6	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	SlBCAT4, pH not specified in the publication, 25&degC	Solanum lycopersicum	611	723462	2.6.1.42C00141	7
2.6.1.42		84.3	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	SlBCAT2, pH not specified in the publication, 25&degC	Solanum lycopersicum	611	723462	2.6.1.42C00141	7
2.6.1.42		109.8	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	SlBCAT6, pH not specified in the publication, 25&degC	Solanum lycopersicum	611	723462	2.6.1.42C00141	7
2.6.1.42		7.6	C00407	cpd:C00407   L-Isoleucine; 2-Amino-3-methylvaleric acid	pH not specified in the publication, 25&degC	Solanum lycopersicum	266	723052	2.6.1.42C00407	7
2.6.1.42		7.6	C00407	cpd:C00407   L-Isoleucine; 2-Amino-3-methylvaleric acid	SlBCAT2, pH not specified in the publication, 25&degC	Solanum lycopersicum	266	723462	2.6.1.42C00407	7
2.6.1.42		20	C00407	cpd:C00407   L-Isoleucine; 2-Amino-3-methylvaleric acid	SlBCAT4, pH not specified in the publication, 25&degC SlBCAT6, pH not specified in the publication, 25&degC	Solanum lycopersicum	266	723462	2.6.1.42C00407	7
2.6.1.42		40.8	C00407	cpd:C00407   L-Isoleucine; 2-Amino-3-methylvaleric acid	SlBCAT1, pH not specified in the publication, 25&degC	Solanum lycopersicum	266	723462	2.6.1.42C00407	7
2.6.1.42		163	C00407	cpd:C00407   L-Isoleucine; 2-Amino-3-methylvaleric acid	SlBCAT5, pH not specified in the publication, 25&degC	Solanum lycopersicum	266	723462	2.6.1.42C00407	7
2.6.1.42		174	C00407	cpd:C00407   L-Isoleucine; 2-Amino-3-methylvaleric acid	SlBCAT3, pH not specified in the publication, 25&degC	Solanum lycopersicum	266	723462	2.6.1.42C00407	7
2.6.1.42		8.1	C00123 	cpd:C00123   L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	pH not specified in the publication, 25&degC	Solanum lycopersicum	121	723052	2.6.1.42C00123 	7
2.6.1.42		8.1	C00123 	cpd:C00123   L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	SlBCAT2, pH not specified in the publication, 25&degC	Solanum lycopersicum	121	723462	2.6.1.42C00123 	7
2.6.1.42		15.7	C00123 	cpd:C00123   L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	SlBCAT6, pH not specified in the publication, 25&degC	Solanum lycopersicum	121	723462	2.6.1.42C00123 	7
2.6.1.42		17.9	C00123 	cpd:C00123   L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	SlBCAT4, pH not specified in the publication, 25&degC	Solanum lycopersicum	121	723462	2.6.1.42C00123 	7
2.6.1.42		39.1	C00123 	cpd:C00123   L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	SlBCAT1, pH not specified in the publication, 25&degC	Solanum lycopersicum	121	723462	2.6.1.42C00123 	7
2.6.1.42		118	C00123 	cpd:C00123   L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	SlBCAT5, pH not specified in the publication, 25&degC	Solanum lycopersicum	121	723462	2.6.1.42C00123 	7
2.6.1.42		121	C00123 	cpd:C00123   L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	SlBCAT3, pH not specified in the publication, 25&degC	Solanum lycopersicum	121	723462	2.6.1.42C00123 	7
1.8.1.9		0.06	C00004	cpd:C00004   NADH; DPNH; Reduced nicotinamide adenine dinucleotide	in 50 mM potassium phosphate, pH 7.0, 1 mM EDTA, temperature not specified in the publication	Solanum lycopersicum	3	724652	1.8.1.9C00004	7
1.8.1.9		0.35	C00005	cpd:C00005   NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	in 50 mM potassium phosphate, pH 7.0, 1 mM EDTA, temperature not specified in the publication	Solanum lycopersicum	5	724652	1.8.1.9C00005	7
1.8.1.9		0.38	C00342	cpd:C00342   Thioredoxin; Reduced thioredoxin	in 50 mM potassium phosphate, pH 7.0, 1 mM EDTA, temperature not specified in the publication	Solanum lycopersicum	115	724652	1.8.1.9C00342	7
3.2.1.26	FrcFD_c	1384	C00089	cpd:C00089   Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	at pH 4.5 and 50&degC	Solanum lycopersicum	51	729321	3.2.1.26C00089	7
2.6.1.42		3.8	C00183	cpd:C00183   L-Valine; 2-Amino-3-methylbutyric acid	SlBCAT2, pH not specified in the publication, 25&degC	Solanum lycopersicum	217	723462	2.6.1.42C00183	7
2.6.1.42		20.6	C00183	cpd:C00183   L-Valine; 2-Amino-3-methylbutyric acid	SlBCAT4, pH not specified in the publication, 25&degC	Solanum lycopersicum	217	723462	2.6.1.42C00183	7
2.6.1.42		24	C00183	cpd:C00183   L-Valine; 2-Amino-3-methylbutyric acid	SlBCAT6, pH not specified in the publication, 25&degC	Solanum lycopersicum	217	723462	2.6.1.42C00183	7
2.6.1.42		28.1	C00183	cpd:C00183   L-Valine; 2-Amino-3-methylbutyric acid	pH not specified in the publication, 25&degC	Solanum lycopersicum	217	723052	2.6.1.42C00183	7
2.6.1.42		50.5	C00183	cpd:C00183   L-Valine; 2-Amino-3-methylbutyric acid	SlBCAT1, pH not specified in the publication, 25&degC	Solanum lycopersicum	217	723462	2.6.1.42C00183	7
2.6.1.42		111	C00183	cpd:C00183   L-Valine; 2-Amino-3-methylbutyric acid	SlBCAT3, pH not specified in the publication, 25&degC	Solanum lycopersicum	217	723462	2.6.1.42C00183	7
2.6.1.42		123	C00183	cpd:C00183   L-Valine; 2-Amino-3-methylbutyric acid	SlBCAT5, pH not specified in the publication, 25&degC	Solanum lycopersicum	217	723462	2.6.1.42C00183	7
2.7.7.27		3.9	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	oxidized wild-type, pH 7.4, 37&degC, presence of phosphate	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		5.4	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	reduced wild-type, pH 7.4, 37&degC, presence of phosphate	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		13.7	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	reduced wild-type, pH 7.4, 37&degC	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		15.4	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	oxidized wild-type, pH 7.4, 37&degC	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		47.5	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	chimeric enzyme, pH 7.4, 37&degC, presence of 3-phosphoglycerate	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		67.6	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	chimeric enzyme, pH 7.4, 37&degC	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		70.6	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	chimeric enzyme, pH 7.4, 37&degC, presence of phosphate	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		96	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	wild-type, 37&degC	Solanum tuberosum	7	676387	2.7.7.27C00002	7
2.7.7.27		147.7	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	reduced wild-type, pH 7.4, 37&degC, presence of 3-phosphoglycerate	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		163.1	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	oxidized wild-type, pH 7.4, 37&degC, presence of 3-phosphoglycerate	Solanum tuberosum	7	737552	2.7.7.27C00002	7
2.7.7.27		166	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	wild-type	Solanum tuberosum	7	673678	2.7.7.27C00002	7
2.7.7.27		166	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	37&degC, wild-type large subunit	Solanum tuberosum	7	693217	2.7.7.27C00002	7
2.7.7.27		204	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	wild-type, pH 7.5, 37&degC	Solanum tuberosum	7	737860	2.7.7.27C00002	7
2.7.7.27		139	C00498 	cpd:C00498   ADP-glucose; ADP-alpha-D-glucose; Adenosine diphosphoglucose	37&degC, wild-type large subunit	Solanum tuberosum	493	693217	2.7.7.27C00498 	7
2.7.7.27		121	C00013 	cpd:C00013   Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	37&degC, wild-type large subunit	Solanum tuberosum	13	693217	2.7.7.27C00013 	7
2.7.7.27		0.002	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	mutation D157L, large subunit, plus D143N, small subunit	Solanum tuberosum	101	673678	2.7.7.27C00103	7
2.7.7.27		0.07	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	mutation K41R, large subunit, plus D143N, small subunit	Solanum tuberosum	101	673678	2.7.7.27C00103	7
2.7.7.27		4	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	mutation T51K, large subunit, plus D143N, small subunit	Solanum tuberosum	101	673678	2.7.7.27C00103	7
2.7.7.27		9	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	mutation K41R/T51K, large subunit, plus D143N, small subunit	Solanum tuberosum	101	673678	2.7.7.27C00103	7
2.7.7.27		158	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	wild-type	Solanum tuberosum	101	673678	2.7.7.27C00103	7
2.7.7.27		158	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	37&degC, wild-type large subunit	Solanum tuberosum	101	693217	2.7.7.27C00103	7
2.7.7.27		266	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	wild-type, pH 7.5, 37&degC	Solanum tuberosum	101	737860	2.7.7.27C00103	7
2.4.1.1		0.001	C00103	cpd:C00103   D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	wild-type, 37&degC, pH 5.5	Solanum tuberosum	115540	671424	2.4.1.1C00103	7
3.1.3.18		292	C00988	cpd:C00988   2-Phosphoglycolate; Phosphoglycolic acid	pH 7.5, 70&degC	Spinacia oleracea	997	652557	3.1.3.18C00988	7
4.2.1.9		25	C04039	cpd:C04039   2,3-Dihydroxy-3-methylbutanoate; 2,3-Dihydroxy-isovalerate; 2,3-Dihydroxy-isovaleric acid	pH 7.5, 70&degC	Spinacia oleracea	3111	33972	4.2.1.9C04039	7
4.2.1.9		11.5	C04039	cpd:C04039   2,3-Dihydroxy-3-methylbutanoate; 2,3-Dihydroxy-isovalerate; 2,3-Dihydroxy-isovaleric acid		Spinacia oleracea	3111	33985	4.2.1.9C04039	7
4.2.1.9		8.3	C06007	cpd:C06007   (R)-2,3-Dihydroxy-3-methylpentanoate; (R)-2,3-Dihydroxy-3-methylvalerate; (2R,3R)-2,3-Dihydroxy-3-methylpentanoate		Spinacia oleracea	13577	33985	4.2.1.9C06007	7
1.2.1.12		50	C00118	cpd:C00118   D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphate		Spinacia oleracea	139	287935	1.2.1.12C00118	7
1.1.3.15		1.04	C00258 	cpd:C00258   D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid	pH 8.0	Spinacia oleracea	1287	677279	1.1.3.15C00258 	7
2.7.1.31	GCEAK_h	200	C00258 	cpd:C00258   D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid	pH 8.0	Spinacia oleracea	435	641341	2.7.1.31C00258 	7
1.2.1.13		41	C00004	cpd:C00004   NADH; DPNH; Reduced nicotinamide adenine dinucleotide	native enzyme A3-GAPDH	Spinacia oleracea	3	656539	1.2.1.13C00004	7
1.2.1.13		61	C00005	cpd:C00005   NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	native enzyme A3-GAPDH	Spinacia oleracea	5	656539	1.2.1.13C00005	7
1.7.1.1		1.5	C00524	cpd:C00524   Cytochrome c; Holocytochrome c	pH 7.0, 25&Acirc&degC, functional FAD-containing domain plus heme-containig domain	Spinacia oleracea	268	654345	1.7.1.1C00524	7
1.18.1.2		600	C00138	cpd:C00138   Reduced ferredoxin; Reduced ferredoxin [iron-sulfur] cluster	electron transfer via the enzyme to NADP+	Spinacia oleracea	230	658617	1.18.1.2C00138	7
2.2.1.1		0.0148	C00117	cpd:C00117   D-Ribose 5-phosphate; Ribose 5-phosphate	electron transfer via the enzyme to NADP+	Spinacia oleracea	165	2239	2.2.1.1C00117	7
5.3.1.6		3440	C00117	cpd:C00117   D-Ribose 5-phosphate; Ribose 5-phosphate	pH 8.0, 25&degC, wild-type enzyme	Spinacia oleracea	165	649425	5.3.1.6C00117	7
